爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
而,[名]1.兩頰上的毛。《說文解字．而部》：「而，須也。」《周禮．冬官考工記．梓人》：「必深其爪，出其目，作其鱗之而。」2.二一四部首之一。[代]1.你。《詩經．大雅．桑柔》：「嗟爾朋友，予豈不知而作！」《左傳．定公十四年》：「夫差！而忘越王之殺而父乎？」2.我。《戰國策．趙策一》：「豫讓拔劍三躍，呼天擊之曰：『而可以報知伯矣。』」《史記．卷八六．刺客傳．聶政傳》：「前日所以不許仲子者，徒以親在，今不幸而母以天終，仲子所欲報仇者為誰？請得從事焉！」[動]1.至、到。如：「自南而北」、「自壯而老」。2.能、可以。《戰國策．齊策六》：「齊多知而解此環不？」《淮南子．原道》：「行柔而剛，用弱而強。」[介]1.之、的。《論語．憲問》：「君子恥其言而過其行。」《淮南子．人間》：「虞之與虢，相恃而勢也。」2.以。如：「從今而後」、「自此而下」。《易經．繫辭上》：「是故形而上者謂之道，形而下者謂之器。」《孟子．盡心下》：「由孔子而來，至於今百有餘歲。」[副]1.才、始。表時間。《公羊傳．宣公十五年》：「嘻！甚矣憊！雖然，吾今取此然後而歸爾。」2.猶。《論語．陽貨》：「年四十而見惡焉，其終也已。」《孟子．告子下》：「舜其至孝矣，五十而慕。」[連]1.和、與。《論語．雍也》：「不有祝鮀之佞，而有宋朝之美，難乎免於今之世矣。」《左傳．昭公二十五年》：「哀樂而樂哀，皆喪心也。」2.並且。《書經．皋陶謨》：「知人則哲，能官人，安民則惠，黎民懷之。能哲而惠，何憂乎驩兜？」《論語．學而》：「學而時習之，不亦說乎？」3.則、就。《易經．繫辭下》：「君子見幾而作，不俟終日。」《左傳．襄公十八年》：「諸侯方睦於晉，臣請嘗之。若可，君而繼之。」4.如、若。《論語．為政》：「人而無信，不知其可也。」5.因而、所以。《左傳．成公八年》：「謂汶陽之田，敝邑之舊也，而用師於齊，使歸諸敝邑。」漢．劉向《說苑．卷一九．脩文》：「情動於中，而形於聲。」6.然而、但是、卻。表轉折之意。《論語．學而》：「其為人也孝弟，而好犯上者鮮矣。」《孟子．離婁下》：「問其與飲食者，盡富貴也，而未嘗有顯者來。」7.尚且。《莊子．天道》：「夫天地至神，而有尊卑先後之序，而況之道乎？」《淮南子．人間》：「夫一麑而不忍，又何況於人乎？」[助]1.用於句末，相當於「兮」、「罷了」。《詩經．齊風．著》：「俟我於著乎而，充耳以素乎而，尚之以瓊華乎而！」《論語．微子》：「已而已而！今之從政者殆而！」2.用於句首，相當於「豈」、「難道」。《論語．顏淵》：「為仁由己，而由人乎哉？」《左傳．昭公十三年》：「諸侯事晉，未敢攜貳，況衛在君之宇下，而敢有異志？」3.用於形容詞或副詞的語尾，無義。《左傳．文公十七年》：「鋌而走險，何能擇？」
耳,[名]1.人及動物的聽覺器官與平衡器官。可分外耳、中耳、內耳三部分。2.凡器物兩旁附有以便於提攜的把手均稱為「耳」。《易經．鼎卦．六五》：「鼎，黃耳金鉉。」《史記．卷二八．封禪書》：「有雉登鼎耳雊，武丁懼。」3.形狀像耳朵的東西。如：「木耳」、「銀耳」。4.姓。如明代有耳元明。5.二一四部首之一。[動]聞、聽。《韓非子．外儲說左上》：「中大夫，晉重列也。今無功而受，非晉臣之意，君其耳而未之目邪？」《漢書．卷九七．外戚傳上．孝景王皇后傳》：「又耳曩者所夢日符，計未有所定。」[助]1.位於句末，表決定的意思。相當於「矣」、「了」。《史記．卷一一○．匈奴傳》：「且所給備善則已；不備，苦惡，則候秋孰，以騎馳蹂而稼穡耳。」2.位於句末，表限制的意思。相當於「而已」、「罷了」。《論語．陽貨》：「二三子，偃之言是也！前言戲之耳。」
洱,參見「洱海」條。
爾,[代]1.第二人稱代名詞，相當於「汝」、「你」。如：「爾虞我詐」。《詩經．衛風．氓》：「爾卜爾筮，體無咎言，以爾車來，以我賄遷。」2.此、這個。《禮記．檀弓上》：「夫子何善爾也？」3.如此、這樣。南朝宋．劉義慶《世說新語．任誕》：「人或怪之，答曰：『未能免俗，聊復爾耳。』」清．蔣士銓〈鳴機夜課圖記〉：「妹一兒也，何苦乃爾。」[形]此、這。如：「爾後」、「爾時」。南朝宋．劉義慶《世說新語．賞譽》：「許掾嘗詣簡文，爾夜風恬月朗，乃共作曲室中語。」[副]表示程度，相當於「如此的」、「這樣的」。《孟子．告子上》：「凶歲，子弟多暴，非天之降才爾殊也。」唐．李白〈戰城南〉：「士卒塗草莽，將軍空爾為。」[助]1.語尾助詞，無義。《論語．陽貨》：「子之武城，聞絃歌之聲，夫子莞爾而笑。」2.如此、而已。如：「不過爾爾」。《公羊傳．僖公三十一年》：「不崇朝而遍雨乎天下者，唯泰山爾。」3.位於句末，表示肯定的意思。同「矣」。《公羊傳．宣公十五年》：「盡此不勝，將去而歸爾。」4.表示疑問的語氣。同「乎」。《公羊傳．隱公元年》：「然則何言爾？成公意也。」
邇,[名]近處、眼前。如：「名聞遐邇」。《紅樓夢》第一八回：「展眼元宵在邇，自正月初八日，就有太監出來先看方向。」[動]接近、親近。《書經．仲虺之語》：「惟王不邇聲色，不殖貨利。」唐．韓愈〈釋言〉：「夫聰明則聽視不惑，公正則不邇讒邪。」[形]親近的。《左傳．昭公三十年》：「吳子唁而送之，使其邇臣從之。」
二,[名]1.介於一和三之間的自然數。如：「一、二、三……。」大寫作「貳」，阿拉伯數字作「2」。2.二一四部首之一。[形]1.次序排第二的。如：「第二名」。唐．杜牧〈贈別〉詩：「娉娉褭褭十三餘，荳蔻梢頭二月初。」2.不專一的、兩樣的。《左傳．昭公二十一年》：「其子有二心，故廢之。」《新唐書．卷一九六．隱逸傳．衛大經傳》：「卓然高行，口無二言。」[動]1.改變。《左傳．僖公十五年》：「必報德，有死無二。」《宋史．卷四一八．文天祥傳》：「為人臣者死有餘罪，況敢逃其死而二其心乎？」2.並比。《史記．卷九二．淮陰侯傳》：「此所謂功無二於天下，而略不世出者也。」
刵,[名]古代一種割去耳朵的刑罰。《書經．呂刑》：「殺戮無辜，爰始淫為劓、刵、椓、黥。」
一,[名]1.自然數的開始。如：「一、二、三……。」大寫作「壹」。阿拉伯數字作「1」。2.姓。如明代有一炫宗。3.二一四部首之一。[形]1.單個。如：「一人」、「一物兩用」。2.相同、一致。如：「一模一樣」、「大小不一」。3.專注的。如：「一心一意」、「專一不變」。4.全、滿、整。如：「一身是汗」、「一屋子人」、「一身是膽」。5.每、各。如：「一班五十人」、「一頁六百字」、「共派八隊，一隊二十人。」6.一次。如：「一而再，再而三。」《禮記．中庸》：「人一能之，己百之。」7.另外的。如：「蟬，一名知了。」、「番茄，一名西紅柿。」[動]統一。《孟子．梁惠王上》：「不嗜殺人者能一之。」[副]1.才、剛剛。如：「一聽就懂」、「天一亮，他就起來。」2.偶然。如：「一不小心」、「一不留神」。3.表示加強的動作或突然的現象。如：「把頭一扭」、「用手一摸」、「天氣一涼，就感冒了。」4.概括。如：「一般來說」。5.每每、每逢。如：「一想到那件事，她總是笑個不停。」6.放在二疊字動詞之間，表行為是不費力或嘗試性的。如：「雙手動一動」、「問一問」、「隨便說一說」。7.事物的某方面。如：「一則以喜，一則以憂。」、「一不沾親，二不帶故。」8.竟、乃。表示事出意外。如：「一至於斯」。《史記．卷六八．商君傳》：「嗟乎，為法之敝一至此哉！」9.皆。《荀子．勸學》：「端而言，蠕而動，一可以為法則。」[助]表示程度，加強語氣。《文選．古詩十九首．西北有高樓》：「上有絃歌聲，音響一何悲。」《戰國策．燕策一》：「因仰而弔齊王桉戈而郤曰：『此一何慶弔相隨之速也？』」[連]或。《莊子．應帝王》：「泰氏其臥徐徐，其覺于于，一以己為馬，一以己為牛。」（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、陽平、上聲之前，念去聲。)
衣,[名]1.人身上所穿，用來蔽體禦寒的東西。通常用布帛、皮革或各種纖維質料做成。如：「毛衣」、「雨衣」、「睡衣」。2.包在物體外的東西。如：「書衣」、「胞衣」、「糖衣藥丸」。3.蔬菜、果實外的薄皮。唐．李建勳〈宿友人山居寄司徒相公〉詩二首之一：「隔紙烘茶蕊，移鐺剝芋衣。」4.特指苔蘚等延貼地面、岩石或樹皮上生長的隱花植物。如：「苔衣」、「地衣」。唐．白居易〈營閒事〉詩：「暖變牆衣色，晴催木筆花。」5.姓。如明代有衣守信。6.二一四部首之一。
依,[動]1.靠著、倚傍。《說文解字．人部》：「依，倚也。」如：「依山傍水」。唐．王之渙〈登鸛雀樓〉詩：「白日依山盡，黃河入海流。」2.倚靠、倚託。如：「相依為命」。《史記．卷一一七．司馬相如傳》：「長卿故倦游，雖貧，其人材足依也。」《文選．曹操．短歌行》：「繞樹三匝，何枝可依。」3.按照、遵循。如：「依次」、「依樣畫葫蘆」。《楚辭．屈原．離騷》：「雖不周於今之人兮，願依彭咸之遺則。」4.聽從、順從。如：「咱們就依著他的話吧！」《莊子．養生主》：「依乎天理，批大卻，導大窾。」[副]情況沒改變、老樣子。如：「依然故我」。唐．方干〈獻王大夫〉詩二首之二：「歷任聖朝清峻地，至今依是少年身。」
伊,[代]1.第三人稱代名詞，相當於「彼」、「他」。《詩經．秦風．蒹葭》：「所謂伊人，在水一方。」宋．柳永〈蝶戀花．佇倚危樓風細細〉詞：「衣帶漸寬終不悔，為伊消得人憔悴。」2.第二人稱代名詞，相當於「你」。《董西廂》卷七：「我於伊志誠沒倦怠，你於我堅心莫更改。」元．佚名《馬陵道》第三折：「我這裡吐膽傾心說與伊，難道你不解其中意。」[動]表示肯定，相當於「是」。《詩經．小雅．蓼莪》：「蓼蓼者莪，匪莪伊蒿。」《後漢書．卷七八．宦者傳．孫程傳》：「昔衛鞅因景監以見，有識知其不終。今得臣舉者，匪榮伊辱。」[助]1.發語詞，無義。《詩經．邶風．谷風》：「不念昔者，伊余來塈。」《文選．陸機．文賦》：「伊茲事之可樂，固聖賢之所欽。」2.文言助詞，表示「剛剛」的意思。如：「就職伊始」、「開幕伊始」。[名]姓。如商朝有伊尹。
夷,[名]1.中國古代東部民族之一。殷商時約分布在今大陸地區山東、江蘇一帶。後泛稱東方各族為「夷」。如：「徐夷」、「淮夷」。《後漢書．卷八五．東夷傳．序》：「夷有九種：曰畎夷、于夷、方夷、黃夷、白夷、赤夷、玄夷、風夷、陽夷。」2.古代對中原以外各族的蔑稱。如：「蠻夷戎狄」。3.同輩。《禮記．曲禮上》：「昏定而晨省，在醜夷不爭。」4.鋤草、平土的農具。《國語．齊語》：「惡金以鑄鉏、夷、斤、斸，試諸壤土。」《管子．小匡》：「惡金以鑄斤斧鉏夷鋸欘，試諸木土。」5.創傷。通「痍」。《左傳．成公十六年》：「子反命軍吏，察夷傷。」《後漢書．卷四七．班超傳》：「每有攻戰，輒為先登，身被金夷，不避死亡。」6.平易、平安。如：「化險為夷」。7.常道。通「彝」。《史記．卷三八．宋微子世家》：「曰王極之傅言，是夷是訓，于帝其順。」8.姓。如周代有夷詭諸。[動]1.鏟平、使平坦。如：「夷為平地」。《左傳．成公十六年》：「將塞井夷灶而為行也。」《國語．晉語六》：「夷灶堙井，非退而何？」2.誅除、消滅、平定。《荀子．君子》：「一人有罪，而三族皆夷。」唐．柳宗元〈封建論〉：「及夫大逆不道，然後掩捕而遷之，勒兵而夷之耳。」3.剷草、割草。《周禮．秋官．薙氏》：「掌殺草。春始生而萌之，夏日至而夷之。」4.陳放、安置。《禮記．喪大記》：「徹帷，男女捧尸夷于堂，降拜。」5.平均。《左傳．昭公十七年》：「五雉為五工正，利器用，正度量，夷民者也。」唐．孔穎達．正義：「所以平均下民也。」[形]1.平坦。《莊子．眩篋》：「夫川竭而谷虛，丘夷而淵實。」《後漢書．卷二四．馬援傳》：「從壺頭則路近而水嶮，從充則塗夷而運遠，帝初以為疑。」2.愉悅。通「怡」。《詩經．鄭風．風雨》：「既見君子，云胡不夷？」3.傲慢無禮。《荀子．修身》：「容貌態度，進退趨行，由禮則雅，不由禮則夷固僻遠，庸眾而野。」
痍,[名]創傷。《說文解字．疒部》：「痍，傷也。」《史記．卷八八．蒙恬傳》：「天下之心未定，痍傷者未瘳。」
宜,[動]1.相安、和順。《禮記．大學》：「宜兄宜弟，而后可以教國人。」2.適當。《呂氏春秋．不苟論．當賞》：「主之賞罰爵祿之所加者宜，則親疏遠近賢不肖，皆盡其力而以為用矣。」3.共享。《詩經．鄭風．女曰雞鳴》：「弋言加之，與子宜之。」[形]合適、相稱。如：「動靜皆宜」。宋．蘇軾〈飲湖上初晴後雨〉詩二首之二：「若把西湖比西子，淡妝濃抹總相宜。」[副]1.應該、應當。如：「不宜喧鬧」、「不宜妄自菲薄」。2.大概、似乎。《漢書．卷二一．律曆志上》：「今陰陽不調，宜更曆之過也。」[名]1.事宜。《禮記．月令》：「天子乃與公卿大夫共飭國典，論時令，以待來歲之宜。」2.姓。如元代有宜桂可。
